origin_zip_range,dest_zip_range,fedex_express_zone,fedex_ground_zone
82100-82199,99568-99576,11,17
82100-82199,99577,9,17
82100-82199,99578-99999,11,17
82200-82299,00000-00399,NA,NA
82200-82299,00400-00599,7,7
82200-82299,00600-00799,*,NA
82200-82299,00800-00899,NA,NA
82200-82299,00900-00999,*,NA
82200-82299,01000-04599,7,7
82200-82299,04600-04799,8,8
82200-82299,04800-13999,7,7
82200-82299,14000-14799,6,6
82200-82299,14800-14999,7,7
82200-82299,15000-16999,6,6
82200-82299,17000-21499,7,7
82200-82299,21500-21599,6,6
82200-82299,21600-22599,7,7
82200-82299,22600-22699,6,6
82200-82299,22700-22799,7,7
82200-82299,22800-22999,6,6
82200-82299,23000-23999,7,7
82200-82299,24000-25399,6,6
82200-82299,25400-25499,7,7
82200-82299,25500-27499,6,6
82200-82299,27500-27999,7,7
82200-82299,28000-28299,6,6
82200-82299,28300-28599,7,7
82200-82299,28600-29399,6,6
82200-82299,29400-29599,7,7
82200-82299,29600-29899,6,6
82200-82299,29900-29999,7,7
82200-82299,30000-31299,6,6
82200-82299,31300-31699,7,7
82200-82299,31700-31999,6,6
82200-82299,32000-32299,7,7
82200-82299,32300-32599,6,6
82200-82299,32600-34999,7,7
82200-82299,35000-37499,6,6
82200-82299,37500-37599,5,5
82200-82299,37600-37999,6,6
82200-82299,38000-38399,5,5
82200-82299,38400-38599,6,6
82200-82299,38600-38799,5,5
82200-82299,38800-38899,6,6
82200-82299,38900-38999,5,5
82200-82299,39000-41899,6,6
82200-82299,41900-41999,NA,NA
82200-82299,42000-42099,5,5
82200-82299,42100-42299,6,6
82200-82299,42300-42499,5,5
82200-82299,42500-45999,6,6
82200-82299,46000-46999,5,5
82200-82299,47000-47199,6,6
82200-82299,47200-47299,5,5
82200-82299,47300-47399,6,6
82200-82299,47400-47999,5,5
82200-82299,48000-48999,6,6
82200-82299,49000-49199,5,5
82200-82299,49200-49299,6,6
82200-82299,49300-49699,5,5
82200-82299,49700-49799,6,6
82200-82299,49800-49999,5,5
82200-82299,50000-50599,4,4
82200-82299,50600-50799,5,5
82200-82299,50800-51699,4,4
82200-82299,51700-51999,NA,NA
82200-82299,52000-53999,5,5
82200-82299,54000-54099,4,4
82200-82299,54100-54999,5,5
82200-82299,55000-55599,4,4
82200-82299,55600-55999,5,5
82200-82299,56000-57499,4,4
82200-82299,57500-57599,3,3
82200-82299,57600-57699,4,4
82200-82299,57700-57799,2,2
82200-82299,57800-57999,NA,NA
82200-82299,58000-58899,4,4
82200-82299,58900-58999,NA,NA
82200-82299,59000-59199,3,3
82200-82299,59200-59299,4,4
82200-82299,59300-59399,3,3
82200-82299,59400-59999,4,4
82200-82299,60000-63999,5,5
82200-82299,64000-64799,4,4
82200-82299,64800-64899,5,5
82200-82299,64900-64999,4,4
82200-82299,65000-65999,5,5
82200-82299,66000-67699,4,4
82200-82299,67700-67799,3,3
82200-82299,67800-68999,4,4
82200-82299,69000-69299,3,3
82200-82299,69300-69399,2,2
82200-82299,69400-69999,NA,NA
82200-82299,70000-70999,6,6
82200-82299,71000-71299,5,5
82200-82299,71300-71499,6,6
82200-82299,71500-71599,NA,NA
82200-82299,71600-72999,5,5
82200-82299,73000-73299,4,4
82200-82299,73300-73599,5,5
82200-82299,73600-73999,4,4
82200-82299,74000-74599,5,5
82200-82299,74600-74699,4,4
82200-82299,74700-78299,5,5
82200-82299,78300-78599,6,6
82200-82299,78600-78999,5,5
82200-82299,79000-79499,4,4
82200-82299,79500-79999,5,5
82200-82299,80000-80299,3,3
82200-82299,80300-80399,2,2
82200-82299,80400-80499,3,3
82200-82299,80500-80599,2,2
82200-82299,80600-80699,3,3
82200-82299,80700-80799,2,2
82200-82299,80800-81099,3,3
82200-82299,81100-81199,4,4
82200-82299,81200-81299,3,3
82200-82299,81300-81399,4,4
82200-82299,81400-81699,3,3
82200-82299,81700-81999,NA,NA
82200-82299,82000-82099,2,2
82200-82299,82100-82199,3,3
82200-82299,82200-82399,2,2
82200-82299,82400-82599,3,3
82200-82299,82600-82799,2,2
82200-82299,82800-83199,3,3
82200-82299,83200-83499,4,4
82200-82299,83500-83599,5,5
82200-82299,83600-83799,4,4
82200-82299,83800-83899,5,5
82200-82299,83900-83999,NA,NA
82200-82299,84000-84799,4,4
82200-82299,84800-84999,NA,NA
82200-82299,85000-85999,5,5
82200-82299,86000-86099,4,4
82200-82299,86100-86299,NA,NA
82200-82299,86300-86499,5,5
82200-82299,86500-87899,4,4
82200-82299,87900-88099,5,5
82200-82299,88100-88199,4,4
82200-82299,88200-88299,5,5
82200-82299,88300-88499,4,4
82200-82299,88500-89299,5,5
82200-82299,89300-89399,4,4
82200-82299,89400-89799,5,5
82200-82299,89800-89899,4,4
82200-82299,89900-89999,NA,NA
82200-82299,90000-96699,5,96700
82200-82299,96701,10,9
82200-82299,96702-96705,12,9
82200-82299,96706-96707,10,9
82200-82299,96708,12,9
82200-82299,96709,10,9
82200-82299,96710,12,9
82200-82299,96711-96712,10,9
82200-82299,96713-96716,12,9
82200-82299,96717,10,9
82200-82299,96718-96729,12,9
82200-82299,96730-96731,10,9
82200-82299,96732-96733,12,9
82200-82299,96734,10,9
82200-82299,96735-96743,12,9
82200-82299,96744,10,9
82200-82299,96745-96757,12,9
82200-82299,96758-96759,10,9
82200-82299,96760-96761,12,9
82200-82299,96762,10,9
82200-82299,96763-96774,12,9
82200-82299,96775,10,9
82200-82299,96776-96781,12,9
82200-82299,96782,10,9
82200-82299,96783-96785,12,9
82200-82299,96786,10,9
82200-82299,96787-96788,12,9
82200-82299,96789,10,9
82200-82299,96790,12,9
82200-82299,96791-96792,10,9
82200-82299,96793,12,9
82200-82299,96794-96795,10,9
82200-82299,96796,12,9
82200-82299,96797,10,9
82200-82299,96798-96800,12,9
82200-82299,96801-96863,10,9
82200-82299,96864-96899,12,9
82200-82299,96900-96999,NA,NA
82200-82299,97000-97899,5,5
82200-82299,97900-97999,4,4
82200-82299,98000-99499,5,99500
82200-82299,99501-99524,9,17
82200-82299,99525-99539,11,17
82200-82299,99540,9,17
82200-82299,99541-99566,11,17
82200-82299,99567,9,17
82200-82299,99568-99576,11,17
82200-82299,99577,9,17
82200-82299,99578-99999,11,17
82300-82399,00000-00399,NA,NA
82300-82399,00400-00599,7,7
82300-82399,00600-00799,*,NA
82300-82399,00800-00899,NA,NA
82300-82399,00900-00999,*,NA
82300-82399,01000-01699,7,7
82300-82399,01700-03199,8,8
82300-82399,03200-03799,7,7
82300-82399,03800-04999,8,8
82300-82399,05000-05499,7,7
82300-82399,05500-05599,8,8
82300-82399,05600-14999,7,7
82300-82399,15000-15399,6,6
82300-82399,15400-16099,7,7
82300-82399,16100-16199,6,6
82300-82399,16200-16399,7,7
82300-82399,16400-16599,6,6
82300-82399,16600-24199,7,7
82300-82399,24200-24299,6,6
82300-82399,24300-24599,7,7
82300-82399,24600-24899,6,6
82300-82399,24900-24999,7,7
82300-82399,25000-25399,6,6
82300-82399,25400-25499,7,7
82300-82399,25500-26199,6,6
82300-82399,26200-26599,7,7
82300-82399,26600-26699,6,6
82300-82399,26700-28699,7,7
82300-82399,28700-28999,6,6
82300-82399,29000-29999,7,7
82300-82399,30000-30399,6,6
82300-82399,30400-30499,7,7
82300-82399,30500-30799,6,6
82300-82399,30800-31099,7,7
82300-82399,31100-31199,6,6
82300-82399,31200-31799,7,7
82300-82399,31800-31999,6,6
82300-82399,32000-32499,7,7
82300-82399,32500-32599,6,6
82300-82399,32600-32999,7,7
82300-82399,33000-33499,8,8
82300-82399,33500-34799,7,7
82300-82399,34800-34899,NA,NA
82300-82399,34900-34999,8,8
82300-82399,35000-39799,6,6
82300-82399,39800-39899,7,7
82300-82399,39900-49799,6,6
82300-82399,49800-50999,5,5
82300-82399,51000-51299,4,4
82300-82399,51300-51499,5,5
82300-82399,51500-51599,4,4
82300-82399,51600-56799,5,5
82300-82399,56800-56999,NA,NA
82300-82399,57000-57699,4,4
82300-82399,57700-57799,3,3
82300-82399,57800-57999,NA,NA
82300-82399,58000-58299,5,5
82300-82399,58300-58899,4,4
82300-82399,58900-58999,NA,NA
82300-82399,59000-59199,3,3
82300-82399,59200-59299,4,4
82300-82399,59300-59399,3,3
82300-82399,59400-59999,4,4
82300-82399,60000-66899,5,5
82300-82399,66900-67299,4,4
82300-82399,67300-67399,5,5
82300-82399,67400-69299,4,4
82300-82399,69300-69399,3,3
82300-82399,69400-69999,NA,NA
82300-82399,70000-70999,6,6
82300-82399,71000-71199,5,5
82300-82399,71200-71499,6,6
82300-82399,71500-71599,NA,NA
82300-82399,71600-72299,5,5
82300-82399,72300-72399,6,6
82300-82399,72400-73599,5,5
82300-82399,73600-73699,4,4
82300-82399,73700-73799,5,5
82300-82399,73800-73999,4,4
82300-82399,74000-76999,5,5
82300-82399,77000-77799,6,6
82300-82399,77800-77899,5,5
82300-82399,77900-77999,6,6
82300-82399,78000-78299,5,5
82300-82399,78300-78599,6,6
82300-82399,78600-78999,5,5
82300-82399,79000-79199,4,4
82300-82399,79200-79999,5,5
82300-82399,80000-80299,3,3
82300-82399,80300-80399,2,2
82300-82399,80400-80499,3,3
82300-82399,80500-80599,2,2
82300-82399,80600-81099,3,3
82300-82399,81100-81199,4,4
82300-82399,81200-81599,3,3
82300-82399,81600-82099,2,2
82300-82399,82100-82199,3,3
82300-82399,82200-82399,2,2
82300-82399,82400-82499,3,3
82300-82399,82500-82699,2,2
82300-82399,82700-82899,3,3
82300-82399,82900-83099,2,2
82300-82399,83100-83299,3,3
82300-82399,83300-83399,4,4
82300-82399,83400-83499,3,3
82300-82399,83500-83799,4,4
82300-82399,83800-83899,5,5
82300-82399,83900-83999,NA,NA
82300-82399,84000-84699,3,3
82300-82399,84700-84799,4,4
82300-82399,84800-84999,NA,NA
82300-82399,85000-85299,5,5
82300-82399,85300-85399,4,4
82300-82399,85400-85499,5,5
82300-82399,85500-85599,4,4
82300-82399,85600-85899,5,5
82300-82399,85900-87999,4,4
82300-82399,88000-88099,5,5
82300-82399,88100-88499,4,4
82300-82399,88500-88599,5,5
82300-82399,88600-88899,NA,NA
82300-82399,88900-89399,4,4
82300-82399,89400-89799,5,5
82300-82399,89800-89899,4,4
82300-82399,89900-89999,NA,NA
82300-82399,90000-96699,5,96700
82300-82399,96701,10,9
82300-82399,96702-96705,12,9
82300-82399,96706-96707,10,9
82300-82399,96708,12,9
82300-82399,96709,10,9
82300-82399,96710,12,9
82300-82399,96711-96712,10,9
82300-82399,96713-96716,12,9
82300-82399,96717,10,9
82300-82399,96718-96729,12,9
82300-82399,96730-96731,10,9
82300-82399,96732-96733,12,9
82300-82399,96734,10,9
82300-82399,96735-96743,12,9
82300-82399,96744,10,9
82300-82399,96745-96757,12,9
82300-82399,96758-96759,10,9
82300-82399,96760-96761,12,9
82300-82399,96762,10,9
82300-82399,96763-96774,12,9
82300-82399,96775,10,9
82300-82399,96776-96781,12,9
82300-82399,96782,10,9
82300-82399,96783-96785,12,9
82300-82399,96786,10,9
82300-82399,96787-96788,12,9
82300-82399,96789,10,9
82300-82399,96790,12,9
82300-82399,96791-96792,10,9
82300-82399,96793,12,9
82300-82399,96794-96795,10,9
82300-82399,96796,12,9
82300-82399,96797,10,9
82300-82399,96798-96800,12,9
82300-82399,96801-96863,10,9
82300-82399,96864-96899,12,9
82300-82399,96900-96999,NA,NA
82300-82399,97000-97899,5,5
82300-82399,97900-97999,4,4
82300-82399,98000-99399,5,5
82300-82399,99400-99499,4,99500
82300-82399,99501-99524,9,17
82300-82399,99525-99539,11,17
82300-82399,99540,9,17
82300-82399,99541-99566,11,17
82300-82399,99567,9,17
82300-82399,99568-99576,11,17
82300-82399,99577,9,17
82300-82399,99578-99999,11,17
82400-82499,00000-00399,NA,NA
82400-82499,00400-00599,7,7
82400-82499,00600-00799,*,NA
82400-82499,00800-00899,NA,NA
82400-82499,00900-00999,*,NA
82400-82499,01000-01699,7,7
82400-82499,01700-03199,8,8
82400-82499,03200-03799,7,7
82400-82499,03800-04999,8,8
82400-82499,05000-05499,7,7
82400-82499,05500-05599,8,8
82400-82499,05600-16099,7,7
82400-82499,16100-16199,6,6
82400-82499,16200-16399,7,7
82400-82499,16400-16599,6,6
82400-82499,16600-24999,7,7
82400-82499,25000-25399,6,6
82400-82499,25400-25499,7,7
82400-82499,25500-25799,6,6
82400-82499,25800-25999,7,7
82400-82499,26000-26199,6,6
82400-82499,26200-28899,7,7
82400-82499,28900-28999,6,6
82400-82499,29000-30699,7,7
82400-82499,30700-30799,6,6
82400-82499,30800-32899,7,7
82400-82499,32900-33499,8,8
82400-82499,33500-33899,7,7
82400-82499,33900-33999,8,8
82400-82499,34000-34099,7,7
82400-82499,34100-34199,8,8
82400-82499,34200-34799,7,7
82400-82499,34800-34899,NA,NA
82400-82499,34900-34999,8,8
82400-82499,35000-35999,6,6
82400-82499,36000-36199,7,7
82400-82499,36200-36299,6,6
82400-82499,36300-36499,7,7
82400-82499,36500-36799,6,6
82400-82499,36800-36899,7,7
82400-82499,36900-37599,6,6
82400-82499,37600-37699,7,7
82400-82499,37700-39799,6,6
82400-82499,39800-39999,7,7
82400-82499,40000-49799,6,6
82400-82499,49800-50999,5,5
82400-82499,51000-51299,4,4
82400-82499,51300-56499,5,5
82400-82499,56500-56599,4,4
82400-82499,56600-56699,5,5
82400-82499,56700-57699,4,4
82400-82499,57700-57799,3,3
82400-82499,57800-57999,NA,NA
82400-82499,58000-58599,4,4
82400-82499,58600-58699,3,3
82400-82499,58700-58899,4,4
82400-82499,58900-58999,NA,NA
82400-82499,59000-59199,2,2
82400-82499,59200-59299,3,3
82400-82499,59300-59399,2,2
82400-82499,59400-59499,3,3
82400-82499,59500-59599,4,4
82400-82499,59600-59799,3,3
82400-82499,59800-59999,4,4
82400-82499,60000-60999,6,6
82400-82499,61000-61799,5,5
82400-82499,61800-61999,6,6
82400-82499,62000-62399,5,5
82400-82499,62400-62499,6,6
82400-82499,62500-62799,5,5
82400-82499,62800-62999,6,6
82400-82499,63000-63699,5,5
82400-82499,63700-63999,6,6
82400-82499,64000-66899,5,5
82400-82499,66900-66999,4,4
82400-82499,67000-67599,5,5
82400-82499,67600-67999,4,4
82400-82499,68000-68299,5,5
82400-82499,68300-69299,4,4
82400-82499,69300-69399,3,3
82400-82499,69400-69999,NA,NA
82400-82499,70000-71899,6,6
82400-82499,71900-71999,5,5
82400-82499,72000-72599,6,6
82400-82499,72600-73299,5,5
82400-82499,73300-73399,6,6
82400-82499,73400-73899,5,5
82400-82499,73900-73999,4,4
82400-82499,74000-75499,5,5
82400-82499,75500-75999,6,6
82400-82499,76000-76499,5,5
82400-82499,76500-76799,6,6
82400-82499,76800-76999,5,5
82400-82499,77000-78999,6,6
82400-82499,79000-79999,5,5
82400-82499,80000-80299,4,4
82400-82499,80300-80399,3,3
82400-82499,80400-80499,4,4
82400-82499,80500-80599,3,3
82400-82499,80600-81599,4,4
82400-82499,81600-82099,3,3
82400-82499,82100-82199,2,2
82400-82499,82200-82399,3,3
82400-82499,82400-82899,2,2
82400-82499,82900-83299,3,3
82400-82499,83300-83399,4,4
82400-82499,83400-83499,3,3
82400-82499,83500-83899,4,4
82400-82499,83900-83999,NA,NA
82400-82499,84000-84499,3,3
82400-82499,84500-84799,4,4
82400-82499,84800-84999,NA,NA
82400-82499,85000-86499,5,5
82400-82499,86500-86599,4,4
82400-82499,86600-86999,NA,NA
82400-82499,87000-87299,5,5
82400-82499,87300-87799,4,4
82400-82499,87800-89299,5,5
82400-82499,89300-89399,4,4
82400-82499,89400-89799,5,5
82400-82499,89800-89899,4,4
82400-82499,89900-89999,NA,NA
82400-82499,90000-96699,5,96700
82400-82499,96701,10,9
82400-82499,96702-96705,12,9
82400-82499,96706-96707,10,9
82400-82499,96708,12,9
82400-82499,96709,10,9
82400-82499,96710,12,9
82400-82499,96711-96712,10,9
82400-82499,96713-96716,12,9
82400-82499,96717,10,9
82400-82499,96718-96729,12,9
82400-82499,96730-96731,10,9
82400-82499,96732-96733,12,9
82400-82499,96734,10,9
82400-82499,96735-96743,12,9
82400-82499,96744,10,9
82400-82499,96745-96757,12,9
82400-82499,96758-96759,10,9
82400-82499,96760-96761,12,9
82400-82499,96762,10,9
82400-82499,96763-96774,12,9
82400-82499,96775,10,9
82400-82499,96776-96781,12,9
82400-82499,96782,10,9
82400-82499,96783-96785,12,9
82400-82499,96786,10,9
82400-82499,96787-96788,12,9
82400-82499,96789,10,9
82400-82499,96790,12,9
82400-82499,96791-96792,10,9
82400-82499,96793,12,9
82400-82499,96794-96795,10,9
82400-82499,96796,12,9
82400-82499,96797,10,9
82400-82499,96798-96800,12,9
82400-82499,96801-96863,10,9
82400-82499,96864-96899,12,9
82400-82499,96900-96999,NA,NA
82400-82499,97000-97799,5,5
82400-82499,97800-97999,4,4
82400-82499,98000-98999,5,5
82400-82499,99000-99499,4,99500
82400-82499,99501-99524,9,17
82400-82499,99525-99539,11,17
82400-82499,99540,9,17
82400-82499,99541-99566,11,17
82400-82499,99567,9,17
82400-82499,99568-99576,11,17
82400-82499,99577,9,17
82400-82499,99578-99999,11,17
82500-82599,00000-00399,NA,NA
82500-82599,00400-00599,7,7
82500-82599,00600-00799,*,NA
82500-82599,00800-00899,NA,NA
82500-82599,00900-00999,*,NA
82500-82599,01000-01399,7,7
82500-82599,01400-03399,8,8
82500-82599,03400-03799,7,7
82500-82599,03800-04999,8,8
82500-82599,05000-05499,7,7
82500-82599,05500-05599,8,8
82500-82599,05600-06199,7,7
82500-82599,06200-06399,8,8
82500-82599,06400-11899,7,7
82500-82599,11900-11999,8,8
82500-82599,12000-25499,7,7
82500-82599,25500-25799,6,6
82500-82599,25800-26099,7,7
82500-82599,26100-26199,6,6
82500-82599,26200-28899,7,7
82500-82599,28900-28999,6,6
82500-82599,29000-30699,7,7
82500-82599,30700-30799,6,6
82500-82599,30800-32899,7,7
82500-82599,32900-33499,8,8
82500-82599,33500-33899,7,7
82500-82599,33900-33999,8,8
82500-82599,34000-34099,7,7
82500-82599,34100-34199,8,8
82500-82599,34200-34799,7,7
82500-82599,34800-34899,NA,NA
82500-82599,34900-34999,8,8
82500-82599,35000-36299,6,6
82500-82599,36300-36499,7,7
82500-82599,36500-36799,6,6
82500-82599,36800-36899,7,7
82500-82599,36900-37599,6,6
82500-82599,37600-37699,7,7
82500-82599,37700-39799,6,6
82500-82599,39800-39999,7,7
82500-82599,40000-43899,6,6
82500-82599,43900-43999,7,7
82500-82599,44000-49799,6,6
82500-82599,49800-50999,5,5
82500-82599,51000-51199,4,4
82500-82599,51200-52899,5,5
82500-82599,52900-52999,NA,NA
82500-82599,53000-53499,6,6
82500-82599,53500-56799,5,5
82500-82599,56800-56999,NA,NA
82500-82599,57000-57699,4,4
82500-82599,57700-57799,3,3
82500-82599,57800-57999,NA,NA
82500-82599,58000-58899,4,4
82500-82599,58900-58999,NA,NA
82500-82599,59000-59199,3,3
82500-82599,59200-59299,4,4
82500-82599,59300-59399,3,3
82500-82599,59400-59599,4,4
82500-82599,59600-59799,3,3
82500-82599,59800-59999,4,4
82500-82599,60000-60999,6,6
82500-82599,61000-61699,5,5
82500-82599,61700-61999,6,6
82500-82599,62000-62399,5,5
82500-82599,62400-62499,6,6
82500-82599,62500-62799,5,5
82500-82599,62800-62999,6,6
82500-82599,63000-63699,5,5
82500-82599,63700-63999,6,6
82500-82599,64000-66899,5,5
82500-82599,66900-66999,4,4
82500-82599,67000-67599,5,5
82500-82599,67600-67999,4,4
82500-82599,68000-68299,5,5
82500-82599,68300-69299,4,4
82500-82599,69300-69399,3,3
82500-82599,69400-69999,NA,NA
82500-82599,70000-71799,6,6
82500-82599,71800-71999,5,5
82500-82599,72000-72499,6,6
82500-82599,72500-73299,5,5
82500-82599,73300-73399,6,6
82500-82599,73400-73899,5,5
82500-82599,73900-73999,4,4
82500-82599,74000-75499,5,5
82500-82599,75500-75999,6,6
82500-82599,76000-76499,5,5
82500-82599,76500-76599,6,6
82500-82599,76600-76999,5,5
82500-82599,77000-78999,6,6
82500-82599,79000-79999,5,5
82500-82599,80000-80799,3,3
82500-82599,80800-81499,4,4
82500-82599,81500-82099,3,3
82500-82599,82100-82199,2,2
82500-82599,82200-82299,3,3
82500-82599,82300-83199,2,2
82500-82599,83200-83499,3,3
82500-82599,83500-83899,4,4
82500-82599,83900-83999,NA,NA
82500-82599,84000-84699,3,3
82500-82599,84700-84799,4,4
82500-82599,84800-84999,NA,NA
82500-82599,85000-85999,5,5
82500-82599,86000-86099,4,4
82500-82599,86100-86299,NA,NA
82500-82599,86300-86499,5,5
82500-82599,86500-87799,4,4
82500-82599,87800-88399,5,5
82500-82599,88400-88499,4,4
82500-82599,88500-88599,5,5
82500-82599,88600-88899,NA,NA
82500-82599,88900-89399,4,4
82500-82599,89400-89799,5,5
82500-82599,89800-89899,4,4
82500-82599,89900-89999,NA,NA
82500-82599,90000-96699,5,96700
82500-82599,96701,10,9
82500-82599,96702-96705,12,9
82500-82599,96706-96707,10,9
82500-82599,96708,12,9
82500-82599,96709,10,9
82500-82599,96710,12,9
82500-82599,96711-96712,10,9
82500-82599,96713-96716,12,9
82500-82599,96717,10,9
82500-82599,96718-96729,12,9
82500-82599,96730-96731,10,9
82500-82599,96732-96733,12,9
82500-82599,96734,10,9
82500-82599,96735-96743,12,9
82500-82599,96744,10,9
82500-82599,96745-96757,12,9
82500-82599,96758-96759,10,9
82500-82599,96760-96761,12,9
82500-82599,96762,10,9
82500-82599,96763-96774,12,9
82500-82599,96775,10,9
82500-82599,96776-96781,12,9
82500-82599,96782,10,9
82500-82599,96783-96785,12,9
82500-82599,96786,10,9
82500-82599,96787-96788,12,9
82500-82599,96789,10,9
82500-82599,96790,12,9
82500-82599,96791-96792,10,9
82500-82599,96793,12,9
82500-82599,96794-96795,10,9
82500-82599,96796,12,9
82500-82599,96797,10,9
82500-82599,96798-96800,12,9
82500-82599,96801-96863,10,9
82500-82599,96864-96899,12,9
82500-82599,96900-96999,NA,NA
82500-82599,97000-97799,5,5
82500-82599,97800-97999,4,4
82500-82599,98000-98999,5,5
82500-82599,99000-99499,4,99500
82500-82599,99501-99524,9,17
82500-82599,99525-99539,11,17
82500-82599,99540,9,17
82500-82599,99541-99566,11,17
82500-82599,99567,9,17
82500-82599,99568-99576,11,17
82500-82599,99577,9,17
82500-82599,99578-99999,11,17
82600-82699,00000-00399,NA,NA
82600-82699,00400-00599,7,7
82600-82699,00600-00799,*,NA
82600-82699,00800-00899,NA,NA
82600-82699,00900-00999,*,NA
82600-82699,01000-02499,7,7
82600-82699,02500-02699,8,8
82600-82699,02700-04299,7,7
82600-82699,04300-04899,8,8
82600-82699,04900-13999,7,7
82600-82699,14000-14399,6,6
82600-82699,14400-14699,7,7
82600-82699,14700-14799,6,6
82600-82699,14800-14999,7,7
82600-82699,15000-15899,6,6
82600-82699,15900-15999,7,7
82600-82699,16000-16599,6,6
82600-82699,16600-16699,7,7
82600-82699,16700-16799,6,6
82600-82699,16800-24199,7,7
82600-82699,24200-24399,6,6
82600-82699,24400-24599,7,7
82600-82699,24600-25399,6,6
82600-82699,25400-25499,7,7
82600-82699,25500-26699,6,6
82600-82699,26700-28599,7,7
82600-82699,28600-28999,6,6
82600-82699,29000-29599,7,7
82600-82699,29600-29699,6,6
82600-82699,29700-29999,7,7
82600-82699,30000-30399,6,6
82600-82699,30400-30499,7,7
82600-82699,30500-30799,6,6
82600-82699,30800-30999,7,7
82600-82699,31000-31299,6,6
82600-82699,31300-31799,7,7
82600-82699,31800-31999,6,6
82600-82699,32000-32499,7,7
82600-82699,32500-32599,6,6
82600-82699,32600-32999,7,7
82600-82699,33000-33499,8,8
82600-82699,33500-34799,7,7
82600-82699,34800-34899,NA,NA
82600-82699,34900-34999,8,8
82600-82699,35000-37499,6,6
82600-82699,37500-37599,5,5
82600-82699,37600-37999,6,6
82600-82699,38000-38199,5,5
82600-82699,38200-38599,6,6
82600-82699,38600-38699,5,5
82600-82699,38700-39799,6,6
82600-82699,39800-39899,7,7
82600-82699,39900-41899,6,6
82600-82699,41900-41999,NA,NA
82600-82699,42000-42099,5,5
82600-82699,42100-46299,6,6
82600-82699,46300-46499,5,5
82600-82699,46500-49799,6,6
82600-82699,49800-50499,5,5
82600-82699,50500-50599,4,4
82600-82699,50600-50999,5,5
82600-82699,51000-51699,4,4
82600-82699,51700-51999,NA,NA
82600-82699,52000-55999,5,5
82600-82699,56000-56299,4,4
82600-82699,56300-56499,5,5
82600-82699,56500-56599,4,4
82600-82699,56600-56699,5,5
82600-82699,56700-57699,4,4
82600-82699,57700-57799,3,3
82600-82699,57800-57999,NA,NA
82600-82699,58000-58899,4,4
82600-82699,58900-58999,NA,NA
82600-82699,59000-59199,3,3
82600-82699,59200-59299,4,4
82600-82699,59300-59399,3,3
82600-82699,59400-59999,4,4
82600-82699,60000-66399,5,5
82600-82699,66400-66699,4,4
82600-82699,66700-66799,5,5
82600-82699,66800-67299,4,4
82600-82699,67300-67399,5,5
82600-82699,67400-69099,4,4
82600-82699,69100-69399,3,3
82600-82699,69400-69999,NA,NA
82600-82699,70000-70999,6,6
82600-82699,71000-71199,5,5
82600-82699,71200-71499,6,6
82600-82699,71500-71599,NA,NA
82600-82699,71600-73799,5,5
82600-82699,73800-73999,4,4
82600-82699,74000-76999,5,5
82600-82699,77000-77799,6,6
82600-82699,77800-77899,5,5
82600-82699,77900-78599,6,6
82600-82699,78600-78899,5,5
82600-82699,78900-78999,6,6
82600-82699,79000-79199,4,4
82600-82699,79200-79999,5,5
82600-82699,80000-80999,3,3
82600-82699,81000-81199,4,4
82600-82699,81200-81299,3,3
82600-82699,81300-81499,4,4
82600-82699,81500-81699,3,3
82600-82699,81700-81999,NA,NA
82600-82699,82000-82099,2,2
82600-82699,82100-82199,3,3
82600-82699,82200-83099,2,2
82600-82699,83100-83299,3,3
82600-82699,83300-83399,4,4
82600-82699,83400-83499,3,3
82600-82699,83500-83799,4,4
82600-82699,83800-83899,5,5
82600-82699,83900-83999,NA,NA
82600-82699,84000-84599,3,3
82600-82699,84600-84799,4,4
82600-82699,84800-84999,NA,NA
82600-82699,85000-85999,5,5
82600-82699,86000-86099,4,4
82600-82699,86100-86299,NA,NA
82600-82699,86300-86499,5,5
82600-82699,86500-87899,4,4
82600-82699,87900-88099,5,5
82600-82699,88100-88199,4,4
82600-82699,88200-88399,5,5
82600-82699,88400-88499,4,4
82600-82699,88500-89299,5,5
82600-82699,89300-89399,4,4
82600-82699,89400-89799,5,5
82600-82699,89800-89899,4,4
82600-82699,89900-89999,NA,NA
82600-82699,90000-96699,5,96700
82600-82699,96701,10,9
82600-82699,96702-96705,12,9
82600-82699,96706-96707,10,9
82600-82699,96708,12,9
82600-82699,96709,10,9
82600-82699,96710,12,9
82600-82699,96711-96712,10,9
82600-82699,96713-96716,12,9
82600-82699,96717,10,9
82600-82699,96718-96729,12,9
82600-82699,96730-96731,10,9
82600-82699,96732-96733,12,9
82600-82699,96734,10,9
82600-82699,96735-96743,12,9
82600-82699,96744,10,9
82600-82699,96745-96757,12,9
82600-82699,96758-96759,10,9
82600-82699,96760-96761,12,9
82600-82699,96762,10,9
82600-82699,96763-96774,12,9
82600-82699,96775,10,9
82600-82699,96776-96781,12,9
82600-82699,96782,10,9
82600-82699,96783-96785,12,9
82600-82699,96786,10,9
82600-82699,96787-96788,12,9
82600-82699,96789,10,9
82600-82699,96790,12,9
82600-82699,96791-96792,10,9
82600-82699,96793,12,9
82600-82699,96794-96795,10,9
82600-82699,96796,12,9
82600-82699,96797,10,9
82600-82699,96798-96800,12,9
82600-82699,96801-96863,10,9
82600-82699,96864-96899,12,9
82600-82699,96900-96999,NA,NA
82600-82699,97000-97899,5,5
